x:26 y:294 width:718 height:226 class_idx:200
x:119 y:266 width:30 height:29 class_idx:104 text:72
x:60 y:235 width:26 height:28 class_idx:102
x:193 y:585 width:30 height:31 class_idx:100 text:方
x:181 y:163 width:48 height:28 class_idx:104 text:210
x:293 y:221 width:30 height:33 class_idx:100 text:果
x:285 y:534 width:35 height:35 class_idx:100 text:填
x:228 y:159 width:31 height:31 class_idx:100 text:厘
x:224 y:530 width:35 height:36 class_idx:100 text:填
x:218 y:299 width:30 height:31 class_idx:100 text:合
x:131 y:103 width:29 height:28 class_idx:100 text:明
x:84 y:265 width:31 height:29 class_idx:102
x:295 y:150 width:30 height:31 class_idx:100 text:小
x:405 y:55 width:27 height:28 class_idx:100 text:比
x:301 y:293 width:32 height:32 class_idx:100 text:数
x:244 y:296 width:31 height:32 class_idx:100 text:适
x:135 y:300 width:29 height:30 class_idx:100 text:内
x:169 y:229 width:30 height:31 class_idx:100 text:算
x:199 y:229 width:30 height:30 class_idx:100 text:式
x:607 y:578 width:32 height:32 class_idx:100 text:方
x:196 y:36 width:32 height:29 class_idx:100 text:元
x:401 y:205 width:31 height:33 class_idx:100 text:是
x:350 y:141 width:30 height:34 class_idx:100 text:高
x:273 y:294 width:30 height:31 class_idx:100 text:的
x:150 y:164 width:30 height:30 class_idx:100 text:高
x:133 y:133 width:31 height:31 class_idx:100 text:小
x:210 y:95 width:28 height:29 class_idx:100 text:花
x:264 y:224 width:32 height:31 class_idx:100 text:结
x:314 y:79 width:29 height:35 class_idx:100 text:克
x:290 y:51 width:31 height:32 class_idx:100 text:元
x:286 y:86 width:29 height:29 class_idx:100 text:千
x:70 y:170 width:26 height:28 class_idx:102
x:33 y:411 width:51 height:32 class_idx:104 text:408
x:379 y:63 width:27 height:31 class_idx:100 text:伟
x:236 y:95 width:28 height:29 class_idx:100 text:重
x:104 y:105 width:31 height:28 class_idx:100 text:小
x:520 y:639 width:33 height:34 class_idx:100 text:长
x:165 y:584 width:30 height:31 class_idx:100 text:长
x:161 y:298 width:30 height:32 class_idx:100 text:填
x:163 y:133 width:27 height:28 class_idx:100 text:明
x:189 y:265 width:26 height:26 class_idx:104 text:*
x:256 y:156 width:29 height:32 class_idx:100 text:米
x:191 y:4 width:30 height:27 class_idx:100 text:元
x:305 y:14 width:30 height:30 class_idx:100 text:元
x:324 y:145 width:26 height:35 class_idx:100 text:草
x:320 y:219 width:30 height:31 class_idx:100 text:是
x:119 y:529 width:35 height:35 class_idx:100 text:算
