x:380 y:556 width:64 height:38 class_idx:101
x:153 y:565 width:26 height:23 class_idx:102
x:146 y:719 width:28 height:24 class_idx:102
x:154 y:400 width:25 height:24 class_idx:102
x:174 y:719 width:17 height:24 class_idx:100 text:用
x:255 y:899 width:19 height:24 class_idx:100 text:部
x:156 y:318 width:25 height:22 class_idx:102
x:171 y:905 width:19 height:23 class_idx:100 text:图
x:239 y:900 width:19 height:24 class_idx:100 text:色
x:271 y:899 width:19 height:24 class_idx:100 text:分
x:243 y:589 width:16 height:21 class_idx:100 text:长
x:622 y:228 width:18 height:23 class_idx:100 text:来
x:600 y:228 width:24 height:23 class_idx:100 text:水
x:181 y:593 width:18 height:17 class_idx:100 text:它
x:653 y:550 width:15 height:21 class_idx:100 text:长
x:288 y:899 width:17 height:24 class_idx:100 text:的
x:221 y:903 width:20 height:21 class_idx:100 text:涂
x:650 y:699 width:17 height:20 class_idx:100 text:少
x:304 y:898 width:19 height:21 class_idx:100 text:周
x:219 y:625 width:24 height:20 class_idx:100 text:四
x:190 y:718 width:19 height:22 class_idx:100 text:三
x:228 y:591 width:16 height:20 class_idx:100 text:周
x:329 y:714 width:17 height:21 class_idx:100 text:正
x:205 y:903 width:19 height:22 class_idx:100 text:中
x:530 y:706 width:17 height:22 class_idx:100 text:长
x:208 y:565 width:17 height:21 class_idx:100 text:长
x:321 y:896 width:18 height:24 class_idx:100 text:长
x:529 y:558 width:15 height:21 class_idx:100 text:长
x:304 y:678 width:41 height:31 class_idx:101
x:434 y:710 width:16 height:23 class_idx:100 text:长
x:590 y:703 width:18 height:21 class_idx:100 text:周
x:544 y:706 width:18 height:19 class_idx:100 text:方
x:244 y:566 width:17 height:20 class_idx:100 text:厘
x:559 y:705 width:18 height:19 class_idx:100 text:形
x:653 y:960 width:20 height:23 class_idx:104 text:10
x:500 y:708 width:18 height:21 class_idx:100 text:成
x:260 y:566 width:16 height:20 class_idx:100 text:米
x:168 y:591 width:16 height:22 class_idx:100 text:出
x:314 y:715 width:17 height:20 class_idx:100 text:的
x:577 y:446 width:17 height:19 class_idx:100 text:分
x:635 y:701 width:17 height:20 class_idx:100 text:多
x:205 y:719 width:18 height:20 class_idx:100 text:个
x:226 y:683 width:27 height:22 class_idx:100 text:11
x:354 y:566 width:16 height:17 class_idx:100 text:围
x:374 y:713 width:17 height:21 class_idx:100 text:拼
x:623 y:553 width:17 height:17 class_idx:100 text:们
x:485 y:561 width:17 height:20 class_idx:100 text:形
x:150 y:591 width:19 height:20 class_idx:100 text:算
x:303 y:273 width:16 height:17 class_idx:100 text:米
x:300 y:350 width:20 height:19 class_idx:104 text:16
x:221 y:718 width:18 height:21 class_idx:100 text:边
x:464 y:711 width:15 height:20 class_idx:100 text:形
x:368 y:565 width:17 height:19 class_idx:100 text:成
x:344 y:715 width:17 height:19 class_idx:100 text:方
x:390 y:713 width:16 height:21 class_idx:100 text:成
x:582 y:228 width:20 height:21 class_idx:100 text:4
x:340 y:565 width:15 height:19 class_idx:100 text:以
x:198 y:591 width:16 height:20 class_idx:100 text:们
x:508 y:453 width:17 height:17 class_idx:100 text:厘
x:420 y:708 width:15 height:22 class_idx:100 text:个
x:195 y:319 width:15 height:21 class_idx:100 text:方
x:235 y:458 width:18 height:21 class_idx:100 text:长
x:213 y:591 width:16 height:20 class_idx:100 text:的
x:281 y:715 width:19 height:19 class_idx:100 text:厘
x:289 y:565 width:16 height:21 class_idx:100 text:铁
x:574 y:704 width:18 height:20 class_idx:100 text:的
x:304 y:565 width:15 height:21 class_idx:100 text:丝
x:121 y:543 width:19 height:20 class_idx:102
x:523 y:259 width:15 height:21 class_idx:100 text:毫
