x:0 y:594 width:595 height:255 class_idx:201
x:26 y:689 width:23 height:24 class_idx:100 text:边
x:147 y:721 width:22 height:24 class_idx:100 text:长
x:132 y:629 width:20 height:22 class_idx:100 text:面
x:312 y:447 width:22 height:22 class_idx:100 text:填
x:245 y:451 width:21 height:22 class_idx:100 text:方
x:228 y:721 width:23 height:25 class_idx:100 text:原
x:410 y:724 width:22 height:23 class_idx:100 text:面
x:249 y:722 width:22 height:25 class_idx:100 text:来
x:208 y:724 width:22 height:22 class_idx:100 text:到
x:492 y:790 width:24 height:24 class_idx:100 text:为
x:71 y:629 width:22 height:22 class_idx:100 text:地
x:327 y:417 width:21 height:21 class_idx:100 text:正
x:124 y:425 width:21 height:21 class_idx:100 text:面
x:168 y:452 width:20 height:23 class_idx:100 text:方
x:447 y:789 width:23 height:23 class_idx:100 text:缩
x:148 y:452 width:21 height:23 class_idx:100 text:正
x:358 y:724 width:21 height:23 class_idx:100 text:不
x:430 y:724 width:24 height:23 class_idx:100 text:积
x:139 y:525 width:20 height:22 class_idx:100 text:宽
x:52 y:629 width:21 height:22 class_idx:100 text:室
x:46 y:424 width:22 height:22 class_idx:100 text:长
x:41 y:396 width:21 height:22 class_idx:100 text:空
x:191 y:629 width:21 height:23 class_idx:100 text:约
x:17 y:454 width:21 height:22 class_idx:100 text:用
x:145 y:562 width:20 height:19 class_idx:100 text:积
x:506 y:605 width:66 height:50 class_idx:101
x:91 y:629 width:22 height:22 class_idx:100 text:面
x:60 y:454 width:22 height:22 class_idx:100 text:个
x:38 y:452 width:22 height:23 class_idx:104 text:12
x:270 y:724 width:22 height:23 class_idx:100 text:的
x:44 y:720 width:25 height:24 class_idx:100 text:个
x:74 y:274 width:28 height:29 class_idx:100 text:课
x:331 y:446 width:23 height:23 class_idx:100 text:表
x:106 y:598 width:21 height:22 class_idx:100 text:画
x:401 y:789 width:24 height:23 class_idx:100 text:积
x:175 y:691 width:21 height:22 class_idx:100 text:方
x:211 y:630 width:22 height:24 class_idx:100 text:是
x:207 y:451 width:21 height:23 class_idx:100 text:摆
x:168 y:720 width:22 height:25 class_idx:100 text:扩
x:337 y:724 width:22 height:24 class_idx:100 text:宽
x:105 y:425 width:20 height:21 class_idx:100 text:的
x:187 y:454 width:21 height:22 class_idx:100 text:形
x:378 y:724 width:22 height:23 class_idx:100 text:变
x:84 y:424 width:23 height:22 class_idx:100 text:形
x:496 y:721 width:21 height:25 class_idx:100 text:大
x:86 y:720 width:22 height:24 class_idx:100 text:方
x:666 y:595 width:22 height:23 class_idx:100 text:个
x:514 y:790 width:27 height:25 class_idx:100 text:原
x:187 y:722 width:22 height:24 class_idx:100 text:大
x:470 y:790 width:23 height:24 class_idx:100 text:小
x:5 y:597 width:22 height:23 class_idx:100 text:判
x:424 y:407 width:23 height:22 class_idx:100 text:积
x:106 y:721 width:22 height:24 class_idx:100 text:形
x:155 y:691 width:22 height:22 class_idx:100 text:正
x:345 y:787 width:23 height:25 class_idx:100 text:半
x:26 y:598 width:22 height:22 class_idx:100 text:断
x:89 y:346 width:25 height:25 class_idx:100 text:础
x:474 y:724 width:22 height:23 class_idx:100 text:扩
x:267 y:692 width:21 height:22 class_idx:100 text:面
x:151 y:630 width:22 height:22 class_idx:100 text:积
x:48 y:690 width:21 height:22 class_idx:100 text:长
x:424 y:789 width:24 height:24 class_idx:100 text:也
x:1 y:689 width:29 height:24 class_idx:104 text:(3)
x:539 y:790 width:25 height:25 class_idx:100 text:来
x:306 y:724 width:22 height:23 class_idx:100 text:倍
x:236 y:787 width:23 height:23 class_idx:100 text:为
x:0 y:658 width:29 height:24 class_idx:102
x:225 y:452 width:21 height:22 class_idx:100 text:长
x:31 y:628 width:23 height:24 class_idx:100 text:教
x:302 y:787 width:22 height:23 class_idx:100 text:的
x:149 y:785 width:23 height:23 class_idx:100 text:边
x:345 y:414 width:21 height:23 class_idx:100 text:方
x:171 y:785 width:22 height:23 class_idx:100 text:长
x:65 y:598 width:23 height:23 class_idx:100 text:对
x:113 y:346 width:24 height:24 class_idx:100 text:训
x:293 y:447 width:21 height:26 class_idx:100 text:并
x:246 y:691 width:22 height:23 class_idx:100 text:的
x:196 y:691 width:23 height:22 class_idx:100 text:形
x:83 y:784 width:23 height:23 class_idx:100 text:方
x:88 y:599 width:19 height:20 class_idx:100 text:的
x:73 y:888 width:27 height:27 class_idx:100 text:训
x:65 y:720 width:23 height:25 class_idx:100 text:长
x:505 y:816 width:68 height:40 class_idx:101
x:111 y:630 width:21 height:21 class_idx:100 text:的
x:106 y:785 width:22 height:23 class_idx:100 text:形
x:100 y:275 width:30 height:29 class_idx:100 text:时
x:21 y:396 width:22 height:22 class_idx:100 text:填
x:22 y:751 width:21 height:22 class_idx:100 text:的
x:384 y:411 width:21 height:22 class_idx:100 text:的
x:127 y:720 width:21 height:24 class_idx:100 text:的
x:65 y:424 width:22 height:22 class_idx:100 text:方
x:174 y:599 width:23 height:22 class_idx:100 text:错
x:541 y:724 width:23 height:24 class_idx:100 text:原
x:127 y:560 width:20 height:22 class_idx:100 text:面
x:287 y:692 width:22 height:23 class_idx:100 text:积
x:136 y:346 width:27 height:26 class_idx:100 text:练
x:192 y:785 width:24 height:24 class_idx:100 text:缩
x:307 y:692 width:22 height:23 class_idx:100 text:为
x:60 y:945 width:22 height:23 class_idx:100 text:图
x:379 y:788 width:23 height:24 class_idx:100 text:面
x:41 y:783 width:24 height:24 class_idx:100 text:个
x:517 y:722 width:25 height:25 class_idx:100 text:到
x:171 y:630 width:21 height:22 class_idx:100 text:大
x:264 y:450 width:22 height:23 class_idx:100 text:形
x:257 y:786 width:24 height:25 class_idx:100 text:原
x:686 y:594 width:23 height:24 class_idx:100 text:长
x:226 y:691 width:22 height:23 class_idx:100 text:它
x:68 y:691 width:21 height:21 class_idx:100 text:为
x:403 y:409 width:22 height:22 class_idx:100 text:面
x:564 y:790 width:24 height:25 class_idx:100 text:的
x:81 y:945 width:24 height:24 class_idx:100 text:形
x:145 y:947 width:24 height:23 class_idx:100 text:积
x:564 y:724 width:22 height:24 class_idx:100 text:来
x:57 y:751 width:24 height:24 class_idx:100 text:倍
x:125 y:947 width:22 height:23 class_idx:100 text:面
x:100 y:887 width:27 height:34 class_idx:100 text:练
x:135 y:690 width:21 height:22 class_idx:100 text:的
x:127 y:785 width:23 height:23 class_idx:100 text:的
x:62 y:784 width:24 height:22 class_idx:100 text:正
x:213 y:786 width:23 height:23 class_idx:100 text:小
x:143 y:425 width:22 height:20 class_idx:100 text:积
x:143 y:491 width:16 height:21 class_idx:100 text:长
x:452 y:724 width:23 height:23 class_idx:100 text:也
x:215 y:598 width:21 height:22 class_idx:100 text:画
x:37 y:816 width:22 height:22 class_idx:100 text:半
x:49 y:889 width:24 height:25 class_idx:100 text:固
x:128 y:454 width:22 height:22 class_idx:100 text:的
x:296 y:417 width:31 height:25 class_idx:104 text:(2)
x:503 y:750 width:72 height:38 class_idx:101
x:61 y:345 width:30 height:27 class_idx:100 text:基
x:103 y:945 width:22 height:26 class_idx:100 text:的
x:365 y:412 width:21 height:23 class_idx:100 text:形
