x:74 y:105 width:490 height:661 class_idx:201
x:254 y:265 width:26 height:28 class_idx:100 text:排
x:445 y:854 width:67 height:41 class_idx:101
x:460 y:258 width:28 height:27 class_idx:100 text:共
x:183 y:514 width:27 height:27 class_idx:100 text:知
x:241 y:1199 width:30 height:31 class_idx:100 text:文
x:408 y:1195 width:31 height:33 class_idx:100 text:半
x:745 y:820 width:35 height:36 class_idx:100 text:练
x:804 y:96 width:29 height:27 class_idx:100 text:元
x:779 y:819 width:39 height:37 class_idx:100 text:营
x:136 y:1199 width:29 height:30 class_idx:100 text:面
x:340 y:768 width:26 height:27 class_idx:100 text:完
x:253 y:470 width:26 height:28 class_idx:100 text:多
x:315 y:768 width:28 height:27 class_idx:100 text:填
x:291 y:768 width:27 height:28 class_idx:100 text:格
x:85 y:151 width:24 height:27 class_idx:102
x:266 y:769 width:27 height:27 class_idx:100 text:表
x:99 y:876 width:26 height:29 class_idx:100 text:羽
x:572 y:676 width:22 height:24 class_idx:102
x:473 y:588 width:26 height:28 class_idx:100 text:平
x:185 y:348 width:29 height:27 class_idx:100 text:知
x:254 y:428 width:26 height:27 class_idx:100 text:花
x:219 y:188 width:29 height:27 class_idx:100 text:之
x:457 y:423 width:26 height:27 class_idx:100 text:绳
x:181 y:266 width:27 height:27 class_idx:100 text:了
x:279 y:265 width:26 height:26 class_idx:100 text:球
x:713 y:820 width:35 height:36 class_idx:100 text:训
x:316 y:265 width:27 height:26 class_idx:100 text:每
x:330 y:185 width:26 height:28 class_idx:100 text:系
x:333 y:509 width:26 height:27 class_idx:100 text:和
x:135 y:684 width:26 height:27 class_idx:100 text:目
x:181 y:430 width:27 height:28 class_idx:100 text:跳
x:597 y:673 width:28 height:30 class_idx:100 text:每
x:145 y:875 width:25 height:28 class_idx:100 text:球
x:111 y:189 width:28 height:27 class_idx:100 text:量
x:700 y:108 width:27 height:23 class_idx:100 text:元
x:156 y:268 width:28 height:27 class_idx:100 text:买
x:269 y:1199 width:29 height:31 class_idx:100 text:具
x:229 y:265 width:26 height:28 class_idx:100 text:个
x:168 y:771 width:27 height:29 class_idx:100 text:将
x:620 y:890 width:29 height:29 class_idx:100 text:我
x:255 y:568 width:14 height:13 class_idx:100 text:，
x:705 y:931 width:30 height:30 class_idx:100 text:盏
x:325 y:1199 width:29 height:30 class_idx:100 text:去
x:376 y:325 width:123 height:61 class_idx:101
x:669 y:888 width:29 height:30 class_idx:100 text:做
x:230 y:919 width:39 height:29 class_idx:104 text:150
x:230 y:596 width:31 height:29 class_idx:100 text:件
x:110 y:599 width:28 height:29 class_idx:100 text:李
x:205 y:430 width:26 height:26 class_idx:100 text:绳
x:215 y:1199 width:29 height:31 class_idx:100 text:阳
x:649 y:933 width:28 height:28 class_idx:100 text:买
x:124 y:875 width:22 height:29 class_idx:100 text:毛
x:169 y:874 width:27 height:29 class_idx:100 text:拍
x:518 y:959 width:27 height:27 class_idx:100 text:元
x:338 y:593 width:27 height:28 class_idx:100 text:花
x:524 y:671 width:30 height:30 class_idx:100 text:求
x:364 y:765 width:25 height:28 class_idx:100 text:整
x:84 y:434 width:25 height:26 class_idx:102
x:487 y:255 width:26 height:28 class_idx:100 text:用
x:380 y:1196 width:29 height:32 class_idx:100 text:下
x:206 y:471 width:27 height:28 class_idx:100 text:买
x:409 y:424 width:26 height:27 class_idx:100 text:根
x:109 y:268 width:27 height:27 class_idx:100 text:学
x:728 y:385 width:26 height:28 class_idx:100 text:多
x:622 y:933 width:28 height:30 class_idx:100 text:用
x:134 y:308 width:26 height:26 class_idx:100 text:少
