x:68 y:798 width:715 height:465 class_idx:202
x:353 y:836 width:22 height:27 class_idx:100 text:去
x:110 y:894 width:586 height:236 class_idx:300
x:319 y:390 width:24 height:25 class_idx:100 text:现
x:508 y:873 width:23 height:25 class_idx:100 text:票
x:299 y:391 width:24 height:25 class_idx:100 text:发
x:566 y:434 width:52 height:26 class_idx:104 text:49.5
x:231 y:776 width:23 height:27 class_idx:100 text:节
x:240 y:339 width:23 height:25 class_idx:100 text:多
x:273 y:778 width:23 height:26 class_idx:100 text:的
x:318 y:553 width:22 height:25 class_idx:100 text:改
x:231 y:835 width:22 height:28 class_idx:100 text:师
x:413 y:314 width:23 height:24 class_idx:100 text:收
x:253 y:778 width:22 height:26 class_idx:100 text:约
x:219 y:553 width:22 height:25 class_idx:100 text:年
x:318 y:339 width:22 height:24 class_idx:100 text:米
x:165 y:314 width:23 height:24 class_idx:100 text:家
x:415 y:835 width:23 height:31 class_idx:100 text:公
x:210 y:836 width:23 height:25 class_idx:100 text:老
x:201 y:339 width:24 height:25 class_idx:100 text:售
x:129 y:835 width:21 height:29 class_idx:100 text:日
x:293 y:778 width:23 height:26 class_idx:100 text:水
x:259 y:554 width:21 height:24 class_idx:100 text:底
x:434 y:314 width:22 height:24 class_idx:100 text:人
x:298 y:553 width:22 height:25 class_idx:100 text:部
x:146 y:340 width:20 height:23 class_idx:100 text:林
x:238 y:553 width:23 height:26 class_idx:100 text:年
x:394 y:313 width:22 height:25 class_idx:100 text:共
x:630 y:935 width:23 height:25 class_idx:100 text:准
x:313 y:779 width:23 height:25 class_idx:100 text:费
x:394 y:836 width:24 height:27 class_idx:100 text:林
x:146 y:314 width:23 height:24 class_idx:100 text:林
x:130 y:778 width:24 height:26 class_idx:100 text:家
x:211 y:778 width:23 height:26 class_idx:100 text:月
x:105 y:836 width:26 height:27 class_idx:100 text:假
x:173 y:779 width:21 height:25 class_idx:100 text:均
x:334 y:836 width:21 height:25 class_idx:100 text:学
x:151 y:778 width:23 height:26 class_idx:100 text:平
x:146 y:391 width:22 height:24 class_idx:100 text:算
x:395 y:553 width:24 height:25 class_idx:100 text:水
x:313 y:836 width:22 height:27 class_idx:100 text:同
x:110 y:776 width:24 height:30 class_idx:100 text:谁
x:265 y:1125 width:24 height:26 class_idx:100 text:并
x:280 y:390 width:23 height:26 class_idx:100 text:能
x:298 y:311 width:23 height:27 class_idx:100 text:种
x:184 y:391 width:22 height:25 class_idx:100 text:面
x:291 y:835 width:24 height:28 class_idx:100 text:组
x:650 y:935 width:24 height:25 class_idx:100 text:备
x:165 y:340 width:23 height:24 class_idx:100 text:家
x:140 y:553 width:23 height:25 class_idx:100 text:风
x:149 y:838 width:24 height:26 class_idx:100 text:里
x:358 y:391 width:22 height:25 class_idx:100 text:么
x:339 y:391 width:22 height:24 class_idx:100 text:什
x:221 y:391 width:24 height:24 class_idx:100 text:题
x:374 y:839 width:21 height:24 class_idx:100 text:森
x:571 y:313 width:20 height:25 class_idx:100 text:方
x:279 y:339 width:22 height:25 class_idx:100 text:平
x:298 y:339 width:23 height:25 class_idx:100 text:方
x:318 y:313 width:23 height:25 class_idx:100 text:植
x:251 y:836 width:24 height:25 class_idx:100 text:带
x:628 y:314 width:23 height:24 class_idx:100 text:价
x:450 y:874 width:24 height:24 class_idx:100 text:元
x:375 y:313 width:24 height:25 class_idx:100 text:皮
x:221 y:1125 width:25 height:25 class_idx:100 text:问
x:203 y:391 width:22 height:25 class_idx:100 text:各
x:590 y:314 width:23 height:24 class_idx:100 text:米
x:190 y:838 width:21 height:23 class_idx:100 text:王
x:375 y:339 width:23 height:25 class_idx:100 text:皮
x:64 y:549 width:630 height:256 class_idx:202
x:355 y:313 width:24 height:25 class_idx:100 text:草
x:260 y:339 width:23 height:25 class_idx:100 text:少
x:713 y:936 width:26 height:25 class_idx:100 text:元
x:355 y:464 width:38 height:22 class_idx:104 text:1.2
x:244 y:1125 width:24 height:26 class_idx:100 text:题
x:646 y:314 width:24 height:25 class_idx:100 text:为
x:279 y:313 width:22 height:26 class_idx:100 text:家
x:183 y:339 width:23 height:25 class_idx:100 text:出
x:339 y:339 width:19 height:24 class_idx:100 text:的
x:576 y:583 width:25 height:23 class_idx:104 text:21
x:356 y:339 width:23 height:25 class_idx:100 text:草
x:416 y:553 width:22 height:25 class_idx:100 text:龙
x:180 y:553 width:21 height:25 class_idx:100 text:区
x:83 y:391 width:23 height:28 class_idx:102
x:551 y:313 width:23 height:25 class_idx:100 text:平
x:93 y:134 width:21 height:26 class_idx:102
x:124 y:339 width:24 height:25 class_idx:100 text:小
x:554 y:936 width:20 height:24 class_idx:100 text:师
x:358 y:553 width:20 height:25 class_idx:100 text:了
x:203 y:313 width:22 height:25 class_idx:100 text:年
x:375 y:551 width:24 height:27 class_idx:100 text:节
x:223 y:339 width:20 height:25 class_idx:100 text:了
x:286 y:1125 width:23 height:26 class_idx:100 text:解
x:241 y:313 width:20 height:23 class_idx:100 text:出
x:336 y:314 width:25 height:24 class_idx:100 text:的
x:278 y:553 width:23 height:26 class_idx:100 text:全
x:180 y:1124 width:24 height:27 class_idx:100 text:数
x:334 y:779 width:24 height:25 class_idx:100 text:多
x:435 y:553 width:24 height:26 class_idx:100 text:头
x:124 y:391 width:24 height:25 class_idx:100 text:计
x:570 y:489 width:50 height:25 class_idx:104 text:49.5
x:259 y:390 width:24 height:26 class_idx:100 text:你
x:374 y:875 width:21 height:23 class_idx:100 text:花
x:160 y:554 width:21 height:24 class_idx:100 text:小
x:435 y:836 width:24 height:27 class_idx:100 text:园
x:531 y:313 width:23 height:25 class_idx:100 text:每
x:119 y:553 width:24 height:26 class_idx:100 text:清
x:221 y:313 width:24 height:25 class_idx:100 text:售
x:185 y:314 width:21 height:24 class_idx:100 text:今
x:231 y:876 width:30 height:32 class_idx:100 text:处
x:79 y:119 width:655 height:172 class_idx:202
x:200 y:1124 width:24 height:27 class_idx:100 text:学
x:320 y:586 width:24 height:24 class_idx:100 text:元
x:75 y:399 width:663 height:140 class_idx:203
x:199 y:554 width:24 height:25 class_idx:100 text:去
x:630 y:959 width:21 height:24 class_idx:100 text:票
x:244 y:404 width:9 height:11 class_idx:100 text:，
x:225 y:588 width:20 height:21 class_idx:100 text:约
x:286 y:231 width:22 height:22 class_idx:100 text:数
x:191 y:776 width:24 height:25 class_idx:100 text:每
x:165 y:391 width:21 height:24 class_idx:100 text:下
x:190 y:586 width:19 height:24 class_idx:100 text:年
x:701 y:314 width:25 height:26 class_idx:100 text:元
x:610 y:935 width:24 height:25 class_idx:100 text:要
x:115 y:1124 width:24 height:27 class_idx:100 text:能
x:568 y:463 width:51 height:22 class_idx:104 text:49.5
x:354 y:875 width:20 height:21 class_idx:100 text:共
x:308 y:1125 width:23 height:25 class_idx:100 text:答
