x:79 y:934 width:768 height:341 class_idx:202
x:88 y:360 width:759 height:281 class_idx:202
x:659 y:184 width:24 height:24 class_idx:100 text:能
x:472 y:374 width:28 height:30 class_idx:100 text:2
x:388 y:375 width:30 height:33 class_idx:100 text:算
x:75 y:633 width:772 height:287 class_idx:202
x:191 y:378 width:32 height:31 class_idx:100 text:城
x:628 y:571 width:34 height:34 class_idx:100 text:给
x:524 y:885 width:24 height:26 class_idx:100 text:出
x:180 y:246 width:26 height:27 class_idx:100 text:爸
x:115 y:779 width:50 height:40 class_idx:102
x:358 y:375 width:32 height:33 class_idx:100 text:打
x:717 y:569 width:34 height:35 class_idx:100 text:种
x:778 y:570 width:30 height:33 class_idx:100 text:法
x:415 y:375 width:30 height:31 class_idx:100 text:买
x:238 y:638 width:30 height:31 class_idx:100 text:原
x:452 y:206 width:26 height:27 class_idx:100 text:三
x:418 y:688 width:34 height:33 class_idx:100 text:来
x:163 y:376 width:31 height:32 class_idx:100 text:阿
x:661 y:209 width:23 height:25 class_idx:100 text:完
x:265 y:636 width:32 height:33 class_idx:100 text:有
x:681 y:184 width:23 height:25 class_idx:100 text:把
x:155 y:246 width:26 height:27 class_idx:100 text:爸
x:121 y:688 width:47 height:40 class_idx:102
x:181 y:640 width:29 height:31 class_idx:100 text:商
x:104 y:378 width:29 height:28 class_idx:102
x:658 y:573 width:30 height:31 class_idx:100 text:出
x:171 y:164 width:29 height:29 class_idx:100 text:庭
x:134 y:376 width:31 height:29 class_idx:100 text:王
x:327 y:688 width:33 height:32 class_idx:100 text:机
x:397 y:636 width:31 height:32 class_idx:100 text:视
x:186 y:583 width:32 height:30 class_idx:100 text:娃
x:359 y:689 width:31 height:31 class_idx:100 text:比
x:253 y:375 width:50 height:33 class_idx:104 text:100
x:389 y:689 width:30 height:31 class_idx:100 text:原
x:253 y:1164 width:31 height:35 class_idx:100 text:买
x:637 y:208 width:26 height:26 class_idx:100 text:充
x:106 y:154 width:688 height:211 class_idx:202
x:682 y:208 width:22 height:23 class_idx:100 text:整
x:176 y:690 width:34 height:33 class_idx:100 text:现
x:196 y:164 width:30 height:29 class_idx:100 text:跳
x:594 y:573 width:35 height:33 class_idx:100 text:请
x:397 y:780 width:32 height:33 class_idx:100 text:机
x:702 y:185 width:22 height:24 class_idx:100 text:表
x:499 y:884 width:26 height:27 class_idx:100 text:卖
x:370 y:638 width:29 height:28 class_idx:100 text:电
x:210 y:690 width:30 height:31 class_idx:100 text:在
x:749 y:569 width:32 height:34 class_idx:100 text:买
x:143 y:161 width:30 height:30 class_idx:100 text:家
x:297 y:689 width:31 height:32 class_idx:100 text:视
x:225 y:164 width:30 height:29 class_idx:100 text:绳
x:239 y:689 width:31 height:31 class_idx:100 text:的
x:687 y:571 width:31 height:32 class_idx:100 text:两
x:428 y:208 width:25 height:27 class_idx:100 text:第
x:344 y:783 width:28 height:28 class_idx:100 text:电
x:253 y:164 width:30 height:30 class_idx:100 text:比
x:220 y:376 width:30 height:33 class_idx:100 text:有
x:435 y:244 width:32 height:26 class_idx:104 text:36
x:266 y:248 width:27 height:26 class_idx:100 text:下
x:225 y:115 width:30 height:31 class_idx:100 text:应
x:367 y:248 width:27 height:23 class_idx:100 text:下
x:537 y:278 width:31 height:26 class_idx:104 text:86
x:280 y:164 width:29 height:30 class_idx:100 text:赛
x:233 y:778 width:30 height:40 class_idx:100 text:有
x:315 y:783 width:30 height:31 class_idx:100 text:台
x:151 y:321 width:28 height:28 class_idx:100 text:沟
x:586 y:1113 width:32 height:32 class_idx:100 text:元
x:564 y:198 width:30 height:30 class_idx:100 text:数
x:488 y:1108 width:36 height:38 class_idx:100 text:要
x:298 y:635 width:37 height:34 class_idx:104 text:46
x:288 y:779 width:30 height:39 class_idx:100 text:少
x:499 y:373 width:29 height:30 class_idx:100 text:台
x:101 y:1106 width:49 height:42 class_idx:102
x:209 y:639 width:30 height:31 class_idx:100 text:场
x:722 y:188 width:21 height:23 class_idx:100 text:格
x:163 y:1109 width:35 height:34 class_idx:100 text:买
x:125 y:639 width:30 height:30 class_idx:100 text:阳
x:395 y:530 width:29 height:28 class_idx:100 text:元
