x:440 y:575 width:363 height:269 class_idx:202
x:465 y:926 width:25 height:27 class_idx:100 text:价
x:90 y:559 width:24 height:25 class_idx:100 text:描
x:318 y:919 width:23 height:25 class_idx:100 text:幅
x:444 y:844 width:382 height:377 class_idx:200
x:398 y:925 width:23 height:26 class_idx:100 text:长
x:649 y:271 width:41 height:34 class_idx:102
x:130 y:563 width:23 height:25 class_idx:100 text:爱
x:144 y:829 width:24 height:26 class_idx:100 text:是
x:356 y:923 width:25 height:26 class_idx:100 text:要
x:111 y:561 width:23 height:24 class_idx:100 text:眯
x:619 y:941 width:22 height:25 class_idx:100 text:花
x:103 y:824 width:22 height:29 class_idx:100 text:艺
x:124 y:244 width:24 height:25 class_idx:100 text:用
x:468 y:861 width:23 height:25 class_idx:100 text:小
x:661 y:915 width:23 height:24 class_idx:100 text:元
x:381 y:891 width:20 height:27 class_idx:100 text:作
x:123 y:828 width:23 height:26 class_idx:100 text:术
x:71 y:894 width:25 height:25 class_idx:100 text:剪
x:506 y:899 width:20 height:25 class_idx:100 text:验
x:150 y:566 width:23 height:24 class_idx:100 text:吃
x:584 y:939 width:20 height:25 class_idx:100 text:共
x:116 y:861 width:25 height:27 class_idx:100 text:物
x:54 y:560 width:371 height:274 class_idx:200
x:224 y:839 width:21 height:25 class_idx:100 text:的
x:469 y:239 width:30 height:31 class_idx:100 text:乘
x:318 y:851 width:21 height:25 class_idx:100 text:艺
x:533 y:725 width:23 height:25 class_idx:100 text:克
x:279 y:913 width:25 height:26 class_idx:100 text:作
x:58 y:820 width:25 height:28 class_idx:100 text:剪
x:700 y:886 width:24 height:24 class_idx:100 text:夫
x:345 y:889 width:20 height:25 class_idx:100 text:奶
x:138 y:864 width:22 height:26 class_idx:100 text:质
x:115 y:898 width:24 height:26 class_idx:100 text:需
x:259 y:911 width:25 height:27 class_idx:100 text:制
x:65 y:929 width:25 height:26 class_idx:100 text:间
x:466 y:895 width:23 height:26 class_idx:100 text:实
x:51 y:858 width:25 height:26 class_idx:100 text:人
x:578 y:874 width:20 height:24 class_idx:100 text:妈
x:93 y:895 width:26 height:26 class_idx:100 text:纸
x:378 y:924 width:23 height:26 class_idx:100 text:多
x:80 y:823 width:25 height:27 class_idx:100 text:纸
x:48 y:893 width:25 height:26 class_idx:100 text:幅
x:524 y:869 width:20 height:24 class_idx:100 text:爸
x:138 y:899 width:25 height:26 class_idx:100 text:要
x:164 y:251 width:21 height:22 class_idx:100 text:式
x:546 y:255 width:29 height:31 class_idx:100 text:数
x:156 y:868 width:24 height:26 class_idx:100 text:文
x:475 y:571 width:23 height:28 class_idx:100 text:下
x:205 y:838 width:20 height:23 class_idx:100 text:老
x:44 y:930 width:22 height:23 class_idx:100 text:时
x:559 y:871 width:21 height:25 class_idx:100 text:妈
x:488 y:899 width:20 height:24 class_idx:100 text:体
x:326 y:886 width:20 height:25 class_idx:100 text:奶
x:514 y:654 width:24 height:24 class_idx:100 text:类
x:73 y:858 width:26 height:28 class_idx:100 text:类
x:241 y:908 width:23 height:30 class_idx:100 text:则
x:243 y:841 width:22 height:27 class_idx:100 text:中
x:286 y:881 width:25 height:27 class_idx:100 text:若
x:699 y:918 width:22 height:26 class_idx:100 text:张
x:188 y:901 width:23 height:32 class_idx:100 text:分
x:504 y:693 width:19 height:22 class_idx:100 text:价
x:169 y:569 width:22 height:25 class_idx:100 text:鱼
x:488 y:864 width:22 height:24 class_idx:100 text:军
x:543 y:901 width:23 height:27 class_idx:100 text:玩
x:541 y:870 width:20 height:24 class_idx:100 text:爸
x:653 y:391 width:15 height:14 class_idx:100 text:数
x:638 y:944 width:21 height:25 class_idx:100 text:多
x:300 y:849 width:20 height:24 class_idx:100 text:间
x:571 y:904 width:22 height:27 class_idx:100 text:成
x:723 y:890 width:22 height:21 class_idx:104 text:90
x:496 y:651 width:22 height:23 class_idx:100 text:种
x:609 y:909 width:22 height:25 class_idx:100 text:票
x:184 y:834 width:24 height:25 class_idx:100 text:古
x:281 y:849 width:20 height:24 class_idx:100 text:民
