x:6 y:894 width:827 height:279 class_idx:200
x:248 y:914 width:13 height:15 class_idx:100 text:，
x:200 y:534 width:24 height:25 class_idx:100 text:算
x:178 y:536 width:25 height:25 class_idx:100 text:验
x:435 y:955 width:28 height:29 class_idx:100 text:饭
x:158 y:541 width:21 height:23 class_idx:100 text:并
x:268 y:956 width:30 height:32 class_idx:100 text:机
x:241 y:958 width:29 height:27 class_idx:100 text:手
x:605 y:955 width:27 height:28 class_idx:100 text:毛
x:169 y:1235 width:34 height:38 class_idx:100 text:能
x:191 y:900 width:30 height:30 class_idx:100 text:完
x:448 y:366 width:25 height:24 class_idx:100 text:再
x:470 y:366 width:24 height:25 class_idx:100 text:算
x:609 y:468 width:25 height:22 class_idx:104 text:26
x:9 y:910 width:26 height:29 class_idx:100 text:采
x:134 y:686 width:26 height:27 class_idx:100 text:人
x:779 y:1046 width:26 height:27 class_idx:100 text:双
x:111 y:901 width:29 height:32 class_idx:100 text:单
x:460 y:1101 width:32 height:33 class_idx:100 text:个
x:580 y:954 width:28 height:29 class_idx:100 text:羊
x:228 y:1056 width:45 height:30 class_idx:104 text:276
x:110 y:689 width:26 height:26 class_idx:100 text:填
x:136 y:543 width:24 height:25 class_idx:100 text:算
x:71 y:1239 width:32 height:36 class_idx:100 text:看
x:85 y:904 width:28 height:30 class_idx:100 text:录
x:745 y:1046 width:35 height:27 class_idx:104 text:533
x:732 y:1000 width:56 height:33 class_idx:101
x:165 y:900 width:29 height:31 class_idx:100 text:充
x:458 y:1050 width:32 height:33 class_idx:100 text:个
x:460 y:955 width:29 height:31 class_idx:100 text:锅
x:304 y:375 width:24 height:24 class_idx:100 text:那
x:115 y:545 width:23 height:23 class_idx:100 text:计
x:629 y:955 width:26 height:28 class_idx:100 text:衫
x:475 y:1003 width:29 height:28 class_idx:100 text:个
x:210 y:1099 width:80 height:46 class_idx:101
x:99 y:1238 width:30 height:37 class_idx:100 text:电
x:326 y:321 width:22 height:23 class_idx:100 text:于
x:158 y:684 width:26 height:27 class_idx:100 text:合
x:266 y:1004 width:35 height:34 class_idx:100 text:部
x:284 y:378 width:24 height:22 class_idx:100 text:的
x:430 y:460 width:38 height:23 class_idx:104 text:290
x:181 y:683 width:27 height:27 class_idx:100 text:适
