x:1 y:651 width:575 height:314 class_idx:202
x:201 y:970 width:23 height:24 class_idx:100 text:的
x:447 y:970 width:25 height:26 class_idx:100 text:分
x:59 y:969 width:22 height:25 class_idx:100 text:对
x:309 y:969 width:25 height:26 class_idx:100 text:改
x:481 y:969 width:25 height:26 class_idx:100 text:共
x:201 y:619 width:22 height:24 class_idx:100 text:的
x:76 y:509 width:25 height:25 class_idx:100 text:的
x:349 y:386 width:26 height:24 class_idx:100 text:分
x:158 y:615 width:25 height:28 class_idx:100 text:相
x:59 y:508 width:20 height:26 class_idx:100 text:明
x:8 y:431 width:730 height:233 class_idx:201
x:238 y:584 width:26 height:25 class_idx:100 text:的
x:568 y:394 width:56 height:31 class_idx:101
x:139 y:380 width:25 height:24 class_idx:100 text:到
x:228 y:479 width:26 height:26 class_idx:100 text:是
x:176 y:969 width:27 height:26 class_idx:100 text:错
x:33 y:969 width:27 height:25 class_idx:100 text:题
x:221 y:969 width:27 height:26 class_idx:100 text:打
x:35 y:505 width:24 height:28 class_idx:100 text:小
x:180 y:619 width:23 height:25 class_idx:100 text:同
x:43 y:579 width:26 height:24 class_idx:100 text:一
x:75 y:376 width:20 height:25 class_idx:100 text:倍
x:65 y:615 width:26 height:25 class_idx:100 text:加
x:283 y:620 width:24 height:25 class_idx:100 text:须
x:66 y:579 width:22 height:25 class_idx:100 text:的
x:154 y:653 width:27 height:26 class_idx:100 text:分
x:327 y:416 width:26 height:25 class_idx:100 text:少
x:43 y:651 width:22 height:24 class_idx:100 text:填
x:48 y:613 width:21 height:28 class_idx:100 text:算
x:330 y:970 width:25 height:25 class_idx:100 text:正
x:10 y:969 width:26 height:26 class_idx:100 text:各
x:219 y:584 width:23 height:24 class_idx:100 text:克
x:223 y:618 width:20 height:26 class_idx:100 text:数
x:0 y:908 width:25 height:28 class_idx:100 text:还
x:114 y:653 width:25 height:25 class_idx:100 text:空
x:0 y:960 width:725 height:241 class_idx:203
x:133 y:443 width:25 height:23 class_idx:100 text:题
x:129 y:616 width:21 height:25 class_idx:100 text:时
x:49 y:409 width:22 height:24 class_idx:100 text:两
x:226 y:651 width:37 height:30 class_idx:100 text:分
x:105 y:580 width:26 height:25 class_idx:100 text:菜
x:103 y:966 width:23 height:30 class_idx:100 text:打
x:21 y:798 width:27 height:26 class_idx:100 text:数
x:28 y:409 width:20 height:24 class_idx:102
x:337 y:351 width:57 height:32 class_idx:101
x:79 y:474 width:25 height:25 class_idx:100 text:数
x:160 y:476 width:23 height:25 class_idx:100 text:数
x:307 y:619 width:21 height:30 class_idx:100 text:对
