x:46 y:531 width:764 height:243 class_idx:200
x:524 y:159 width:35 height:25 class_idx:104 text:168
x:502 y:159 width:25 height:25 class_idx:104 text:+
x:60 y:556 width:25 height:25 class_idx:102
x:673 y:599 width:26 height:26 class_idx:100 text:话
x:410 y:1095 width:27 height:29 class_idx:100 text:有
x:139 y:554 width:24 height:30 class_idx:100 text:是
x:697 y:599 width:25 height:26 class_idx:100 text:书
x:34 y:1039 width:764 height:180 class_idx:200
x:304 y:838 width:25 height:26 class_idx:100 text:么
x:570 y:1046 width:27 height:29 class_idx:100 text:午
x:159 y:799 width:26 height:27 class_idx:100 text:数
x:326 y:838 width:25 height:26 class_idx:100 text:时
x:181 y:798 width:28 height:27 class_idx:100 text:学
x:11 y:789 width:798 height:207 class_idx:202
x:598 y:549 width:25 height:26 class_idx:100 text:它
x:119 y:1109 width:27 height:29 class_idx:100 text:来
x:642 y:548 width:26 height:27 class_idx:100 text:完
x:159 y:388 width:26 height:22 class_idx:104 text:48
x:294 y:1103 width:26 height:27 class_idx:100 text:这
x:365 y:1098 width:25 height:27 class_idx:100 text:园
x:183 y:385 width:23 height:26 class_idx:104 text:/
x:434 y:1095 width:24 height:28 class_idx:100 text:多
x:305 y:1056 width:26 height:29 class_idx:100 text:园
x:281 y:836 width:24 height:30 class_idx:100 text:什
x:299 y:554 width:25 height:26 class_idx:100 text:室
x:388 y:1096 width:25 height:30 class_idx:100 text:内
x:318 y:164 width:35 height:24 class_idx:104 text:349
x:254 y:343 width:37 height:31 class_idx:100 text:分
x:211 y:1106 width:29 height:29 class_idx:100 text:位
x:499 y:551 width:24 height:27 class_idx:100 text:录
x:394 y:834 width:25 height:26 class_idx:100 text:午
x:329 y:1055 width:26 height:28 class_idx:100 text:内
x:274 y:608 width:26 height:26 class_idx:100 text:技
x:420 y:1050 width:28 height:30 class_idx:100 text:游
x:425 y:736 width:42 height:27 class_idx:104 text:305
x:650 y:599 width:27 height:27 class_idx:100 text:童
x:91 y:888 width:29 height:28 class_idx:100 text:吗
x:165 y:841 width:26 height:28 class_idx:100 text:强
x:236 y:1059 width:27 height:29 class_idx:100 text:东
x:574 y:549 width:26 height:26 class_idx:100 text:把
x:594 y:1045 width:26 height:28 class_idx:100 text:有
x:209 y:554 width:25 height:27 class_idx:100 text:小
x:231 y:554 width:25 height:26 class_idx:100 text:学
x:433 y:553 width:25 height:26 class_idx:100 text:情
x:349 y:835 width:25 height:28 class_idx:100 text:候
x:478 y:551 width:24 height:27 class_idx:100 text:记
x:619 y:548 width:26 height:27 class_idx:100 text:填
x:445 y:1050 width:27 height:28 class_idx:100 text:客
x:236 y:1103 width:27 height:31 class_idx:100 text:游
x:384 y:604 width:27 height:29 class_idx:100 text:作
x:409 y:605 width:24 height:26 class_idx:100 text:文
x:430 y:604 width:27 height:26 class_idx:100 text:书
x:113 y:386 width:26 height:25 class_idx:104 text:72
x:161 y:555 width:27 height:26 class_idx:100 text:实
x:547 y:1043 width:25 height:31 class_idx:100 text:中
