x:5 y:503 width:373 height:703 class_idx:201
x:659 y:225 width:22 height:26 class_idx:100 text:蜜
x:448 y:899 width:22 height:25 class_idx:100 text:校
x:434 y:686 width:24 height:27 class_idx:100 text:小
x:508 y:225 width:22 height:25 class_idx:100 text:约
x:115 y:216 width:20 height:27 class_idx:100 text:字
x:466 y:900 width:23 height:24 class_idx:100 text:买
x:283 y:841 width:22 height:25 class_idx:100 text:于
x:198 y:745 width:22 height:28 class_idx:100 text:限
x:248 y:486 width:56 height:45 class_idx:101
x:165 y:1129 width:20 height:24 class_idx:100 text:值
x:435 y:659 width:20 height:24 class_idx:100 text:李
x:273 y:464 width:23 height:25 class_idx:100 text:套
x:55 y:940 width:23 height:25 class_idx:100 text:小
x:621 y:226 width:23 height:25 class_idx:100 text:克
x:520 y:445 width:21 height:25 class_idx:100 text:地
x:553 y:964 width:22 height:24 class_idx:100 text:球
x:271 y:746 width:23 height:25 class_idx:100 text:是
x:113 y:185 width:22 height:25 class_idx:100 text:你
x:334 y:465 width:22 height:25 class_idx:100 text:用
x:31 y:1168 width:24 height:23 class_idx:102
x:473 y:719 width:22 height:25 class_idx:100 text:晚
x:524 y:931 width:22 height:25 class_idx:100 text:元
x:578 y:904 width:22 height:24 class_idx:100 text:用
x:214 y:556 width:22 height:25 class_idx:100 text:写
x:313 y:465 width:23 height:25 class_idx:100 text:服
x:455 y:688 width:24 height:23 class_idx:100 text:时
x:584 y:225 width:21 height:26 class_idx:100 text:少
x:133 y:186 width:20 height:24 class_idx:100 text:把
x:520 y:689 width:24 height:26 class_idx:100 text:到
x:36 y:875 width:23 height:26 class_idx:100 text:得
x:201 y:779 width:24 height:25 class_idx:102
x:625 y:691 width:24 height:25 class_idx:100 text:每
x:61 y:1101 width:24 height:27 class_idx:100 text:如
x:89 y:554 width:21 height:26 class_idx:100 text:个
x:340 y:163 width:23 height:25 class_idx:100 text:作
x:449 y:959 width:22 height:25 class_idx:100 text:元
x:35 y:1005 width:23 height:25 class_idx:100 text:是
x:430 y:899 width:23 height:25 class_idx:100 text:学
x:69 y:746 width:22 height:25 class_idx:100 text:下
x:144 y:556 width:21 height:25 class_idx:100 text:都
x:478 y:686 width:22 height:27 class_idx:100 text:可
x:95 y:458 width:24 height:26 class_idx:100 text:装
x:338 y:496 width:21 height:25 class_idx:100 text:服
x:265 y:160 width:23 height:24 class_idx:100 text:的
x:78 y:876 width:21 height:24 class_idx:100 text:商
x:499 y:689 width:22 height:25 class_idx:100 text:以
x:559 y:475 width:21 height:25 class_idx:100 text:千
x:454 y:163 width:21 height:25 class_idx:100 text:问
x:603 y:691 width:23 height:25 class_idx:100 text:果
x:219 y:748 width:19 height:23 class_idx:100 text:小
x:94 y:216 width:22 height:25 class_idx:100 text:数
x:640 y:225 width:23 height:25 class_idx:100 text:蜂
x:156 y:1096 width:22 height:25 class_idx:100 text:位
x:98 y:865 width:53 height:43 class_idx:101
x:184 y:1126 width:17 height:25 class_idx:100 text:是
x:123 y:971 width:21 height:24 class_idx:100 text:以
x:69 y:554 width:24 height:25 class_idx:100 text:两
x:328 y:968 width:20 height:23 class_idx:100 text:余
x:430 y:473 width:21 height:25 class_idx:100 text:均
x:46 y:183 width:23 height:25 class_idx:100 text:表
x:415 y:224 width:23 height:26 class_idx:100 text:蜜
x:145 y:1129 width:24 height:25 class_idx:100 text:大
x:73 y:458 width:25 height:26 class_idx:100 text:服
x:575 y:413 width:23 height:25 class_idx:100 text:程
x:293 y:465 width:23 height:24 class_idx:100 text:衣
x:290 y:740 width:55 height:36 class_idx:103
x:490 y:720 width:24 height:24 class_idx:100 text:多
x:573 y:964 width:22 height:24 class_idx:100 text:拍
x:235 y:558 width:19 height:26 class_idx:100 text:成
x:188 y:189 width:22 height:25 class_idx:100 text:充
x:346 y:968 width:23 height:23 class_idx:100 text:数
x:71 y:1133 width:23 height:25 class_idx:100 text:个
x:410 y:443 width:24 height:25 class_idx:100 text:车
x:669 y:906 width:22 height:25 class_idx:100 text:副
x:304 y:161 width:22 height:25 class_idx:100 text:票
x:410 y:473 width:23 height:25 class_idx:100 text:平
x:99 y:491 width:22 height:25 class_idx:100 text:这
x:194 y:1096 width:21 height:24 class_idx:100 text:数
x:629 y:966 width:24 height:25 class_idx:100 text:副
x:456 y:930 width:23 height:24 class_idx:100 text:去
x:415 y:256 width:23 height:24 class_idx:100 text:保
x:284 y:161 width:22 height:25 class_idx:100 text:发
x:190 y:155 width:21 height:26 class_idx:100 text:根
x:94 y:184 width:22 height:25 class_idx:100 text:请
x:44 y:523 width:22 height:23 class_idx:100 text:选
x:58 y:876 width:22 height:24 class_idx:100 text:的
x:486 y:658 width:20 height:23 class_idx:100 text:学
x:648 y:966 width:23 height:25 class_idx:100 text:乒
x:520 y:474 width:23 height:25 class_idx:100 text:多
x:80 y:1101 width:23 height:25 class_idx:100 text:果
x:655 y:936 width:19 height:25 class_idx:100 text:球
x:286 y:1094 width:24 height:26 class_idx:100 text:是
x:430 y:443 width:23 height:25 class_idx:100 text:从
x:558 y:413 width:21 height:25 class_idx:100 text:路
x:125 y:556 width:21 height:24 class_idx:100 text:数
x:646 y:906 width:24 height:24 class_idx:104 text:18
x:161 y:556 width:24 height:25 class_idx:100 text:是
x:151 y:189 width:19 height:24 class_idx:100 text:它
x:596 y:935 width:24 height:25 class_idx:100 text:副
x:611 y:966 width:22 height:25 class_idx:100 text:每
x:94 y:153 width:22 height:25 class_idx:100 text:面
x:661 y:476 width:24 height:25 class_idx:100 text:保
x:33 y:1135 width:22 height:24 class_idx:100 text:么
x:540 y:474 width:21 height:25 class_idx:100 text:少
x:59 y:906 width:21 height:25 class_idx:100 text:大
x:173 y:220 width:22 height:25 class_idx:100 text:壶
x:51 y:1134 width:23 height:25 class_idx:100 text:这
x:473 y:163 width:22 height:25 class_idx:100 text:题
x:551 y:933 width:24 height:25 class_idx:100 text:买
x:81 y:524 width:22 height:24 class_idx:100 text:选
x:558 y:903 width:23 height:25 class_idx:100 text:育
x:253 y:464 width:22 height:24 class_idx:100 text:每
x:465 y:443 width:23 height:26 class_idx:100 text:地
x:40 y:780 width:23 height:23 class_idx:102
x:704 y:194 width:22 height:25 class_idx:104 text:24
x:705 y:966 width:23 height:25 class_idx:100 text:拍
x:155 y:491 width:23 height:27 class_idx:100 text:最
x:90 y:1133 width:23 height:23 class_idx:100 text:数
x:470 y:224 width:23 height:25 class_idx:100 text:年
