x:105 y:815 width:684 height:309 class_idx:201
x:447 y:549 width:23 height:24 class_idx:100 text:分
x:458 y:513 width:24 height:26 class_idx:100 text:米
x:381 y:729 width:20 height:25 class_idx:100 text:分
x:549 y:100 width:23 height:24 class_idx:100 text:长
x:533 y:763 width:25 height:25 class_idx:100 text:厘
x:519 y:976 width:25 height:27 class_idx:100 text:长
x:522 y:645 width:25 height:25 class_idx:100 text:周
x:136 y:965 width:24 height:25 class_idx:100 text:把
x:299 y:970 width:21 height:25 class_idx:100 text:成
x:381 y:129 width:24 height:25 class_idx:100 text:方
x:399 y:726 width:25 height:25 class_idx:100 text:米
x:401 y:126 width:26 height:25 class_idx:100 text:形
x:355 y:971 width:24 height:27 class_idx:100 text:平
x:542 y:978 width:25 height:27 class_idx:100 text:没
x:542 y:645 width:25 height:25 class_idx:100 text:长
x:280 y:970 width:21 height:25 class_idx:100 text:拉
x:225 y:969 width:20 height:24 class_idx:100 text:形
x:296 y:136 width:25 height:25 class_idx:100 text:课
x:286 y:869 width:24 height:26 class_idx:100 text:厘
x:570 y:96 width:24 height:25 class_idx:100 text:计
x:400 y:921 width:21 height:25 class_idx:100 text:长
x:484 y:113 width:25 height:25 class_idx:100 text:形
x:464 y:116 width:24 height:25 class_idx:100 text:方
x:376 y:656 width:24 height:25 class_idx:100 text:边
x:480 y:873 width:25 height:25 class_idx:100 text:米
x:244 y:968 width:20 height:26 class_idx:100 text:木
x:400 y:870 width:24 height:26 class_idx:100 text:长
x:469 y:479 width:24 height:25 class_idx:100 text:米
x:557 y:538 width:26 height:23 class_idx:104 text:16
x:383 y:870 width:21 height:25 class_idx:100 text:周
x:420 y:870 width:25 height:26 class_idx:100 text:是
x:458 y:871 width:25 height:27 class_idx:100 text:厘
x:563 y:979 width:25 height:26 class_idx:100 text:有
x:206 y:968 width:20 height:26 class_idx:100 text:方
x:542 y:1065 width:26 height:29 class_idx:100 text:长
x:525 y:105 width:25 height:24 class_idx:100 text:周
x:390 y:690 width:25 height:26 class_idx:100 text:米
x:555 y:761 width:24 height:25 class_idx:100 text:米
x:505 y:109 width:24 height:25 class_idx:100 text:的
x:364 y:870 width:20 height:25 class_idx:100 text:的
x:396 y:973 width:23 height:27 class_idx:100 text:四
x:602 y:534 width:25 height:25 class_idx:100 text:米
x:333 y:1054 width:21 height:26 class_idx:100 text:分
x:284 y:696 width:20 height:24 class_idx:100 text:形
x:144 y:919 width:20 height:24 class_idx:100 text:长
x:497 y:975 width:26 height:29 class_idx:100 text:周
x:565 y:1064 width:24 height:31 class_idx:100 text:长
x:336 y:463 width:25 height:23 class_idx:100 text:长
x:406 y:824 width:22 height:24 class_idx:100 text:的
x:258 y:769 width:18 height:24 class_idx:100 text:方
x:263 y:970 width:20 height:24 class_idx:100 text:框
x:454 y:1060 width:26 height:28 class_idx:100 text:部
x:469 y:548 width:20 height:23 class_idx:100 text:米
x:214 y:919 width:20 height:25 class_idx:100 text:周
x:580 y:536 width:25 height:24 class_idx:100 text:分
x:163 y:919 width:20 height:24 class_idx:100 text:方
x:520 y:1061 width:24 height:32 class_idx:100 text:周
x:274 y:768 width:22 height:23 class_idx:100 text:形
x:442 y:120 width:25 height:26 class_idx:100 text:正
x:313 y:1053 width:21 height:26 class_idx:100 text:部
x:435 y:974 width:25 height:27 class_idx:100 text:形
x:359 y:130 width:26 height:26 class_idx:100 text:长
x:414 y:1056 width:23 height:30 class_idx:100 text:比
x:418 y:974 width:20 height:25 class_idx:100 text:边
x:384 y:824 width:25 height:26 class_idx:100 text:错
x:375 y:973 width:24 height:26 class_idx:100 text:行
x:285 y:921 width:21 height:24 class_idx:100 text:比
